,Id,Predicted
2462,9496_2023-11-13,0.01
2463,9499_2023-11-23,0.21
2464,9505_2023-12-11,0.85
2465,9510_2023-12-29,0.13
2466,9511_2023-08-24,0.23
2467,9513_2023-06-16,0.3
2468,9527_2023-09-18,0.22
2469,9529_2023-12-06,0.1
2470,9535_2023-12-01,0.34
2471,9541_2023-11-10,0.16
2472,9544_2023-03-27,0.64
2473,9545_2023-04-29,0.13
2474,9556_2023-11-23,0.01
2475,9565_2023-12-21,0.01
2476,9569_2023-12-20,0.26
2477,9584_2023-10-04,0.54
2478,9591_2023-08-29,0.17
2479,9592_2023-12-27,0.14
2480,9595_2023-11-20,0.03
2481,9599_2023-12-18,0.25
2482,9603_2023-09-12,0.02
2483,9604_2023-12-09,0.13
2484,9605_2023-02-27,0.05
2485,9607_2023-11-28,0.07
2486,9611_2023-12-19,0.01
2487,9613_2023-03-02,0.08
2488,9622_2023-11-08,0.27
2489,9623_2023-12-20,0.16
2490,9624_2023-02-03,0.03
2491,9626_2023-12-06,0.05
2492,9630_2023-11-03,0.89
2493,9631_2023-12-18,0.69
2494,9639_2023-08-30,0.47
2495,9642_2023-06-23,0.21
2496,9646_2023-07-20,0.15
2497,9656_2023-12-05,0.15
2498,9660_2023-11-28,0.02
2499,9661_2023-12-15,0.29
2500,9667_2023-11-22,0.25
2501,9672_2023-08-22,0.04
2502,9677_2023-12-18,0.04
2503,9687_2023-11-22,0.53
2504,9690_2023-11-27,0.12
2505,9692_2023-12-04,0.25
2506,9698_2023-01-27,0.06
2507,9700_2023-12-13,0.34
2508,9704_2023-04-10,0.03
2509,9707_2023-03-13,0.2
2510,9713_2023-11-13,0.05
2511,9715_2023-02-09,0.13
2512,9724_2023-11-20,0.86
2513,9729_2023-12-21,0.93
2514,9746_2023-11-17,0.02
2515,9748_2023-11-10,0.04
2516,9749_2023-09-29,0.28
2517,9750_2023-11-09,0.62
2518,9751_2023-02-17,0.13
2519,9752_2023-08-19,0.34
2520,9758_2023-12-22,0.54
2521,9759_2023-12-01,0.17
2522,9763_2023-12-15,0.02
2523,9771_2023-11-30,0.18
2524,9780_2023-12-14,0.16
2525,9781_2023-11-29,0.3
2526,9782_2023-11-25,0.05
2527,9783_2023-11-13,0.46
2528,9785_2023-11-29,0.16
2529,9787_2023-05-20,0.17
2530,9795_2023-12-08,0.06
2531,9808_2023-03-02,0.19
2532,9810_2023-07-25,0.94
2533,9819_2023-11-03,0.14
2534,9820_2023-11-22,0.33
2535,9822_2023-12-18,0.79
2536,9824_2023-08-23,0.54
2537,9828_2023-11-24,0.59
2538,9835_2023-12-27,0.05
2539,9844_2023-07-07,0.24
2540,9856_2023-04-20,0.07
2541,9865_2023-12-21,0.01
2542,9872_2023-12-17,0.09
2543,9874_2023-05-17,0.97
2544,9876_2023-05-23,0.18
2545,9877_2023-02-19,0.12
2546,9884_2023-11-29,0.16
2547,9893_2023-11-10,0.28
2548,9899_2023-11-27,0.06
2549,9900_2023-12-02,0.16
2550,9902_2023-12-06,0.4
2551,9910_2023-02-07,0.04
2552,9919_2023-11-13,0.68
2553,9920_2023-12-18,0.04
2554,9922_2023-09-27,0.57
2555,9925_2023-11-14,0.15
2556,9932_2023-07-27,0.78
2557,9933_2023-10-03,0.08
2558,9934_2023-12-11,0.05
2559,9938_2023-04-12,0.04
2560,9942_2023-11-02,0.51
2561,9946_2023-11-23,0.1
2562,9954_2023-09-14,0.15
2563,9956_2023-02-10,0.78
2564,9961_2023-12-13,0.18
2565,9962_2023-08-03,0.06
2566,9964_2023-08-01,0.96
2567,9978_2023-10-30,0.07
2568,9983_2023-11-09,0.28
2569,9984_2023-11-14,0.34
2570,9985_2023-12-14,0.21
2571,9986_2023-12-21,0.02
2572,9994_2023-12-19,0.08
2573,9998_2023-11-20,0.11
2574,9999_2023-09-14,0.24
2575,10005_2023-12-20,0.08
2576,10015_2023-02-10,0.78
2577,10025_2023-03-20,0.26
2578,10027_2023-08-23,0.27
2579,10030_2023-11-20,0.07
2580,10032_2023-12-18,0.3
2581,10037_2023-06-17,0.12
2582,10042_2023-11-22,0.03
2583,10043_2023-11-06,0.1
2584,10052_2023-04-12,0.01
2585,10057_2023-07-04,0.45
2586,10059_2023-06-10,0.23
2587,10061_2023-12-14,0.19
2588,10062_2023-12-13,0.72
2589,10070_2023-12-08,0.1
2590,10072_2023-11-04,0.06
2591,10073_2023-12-22,0.04
2592,10075_2023-07-13,0.26
2593,10080_2023-11-29,0.04
2594,10084_2023-08-22,0.32
2595,10085_2023-12-07,0.04
2596,10102_2023-12-20,0.03
2597,10103_2023-11-09,0.05
2598,10106_2023-12-28,0.02
2599,10110_2023-11-20,0.67
2600,10122_2023-07-18,0.43
2601,10124_2023-12-04,0.7
2602,10126_2023-02-06,0.44
2603,10134_2023-01-17,0.78
2604,10145_2023-04-10,0.05
2605,10146_2023-09-25,0.26
2606,10149_2023-11-03,0.25
2607,10155_2023-12-13,0.3
2608,10157_2023-02-22,0.13
2609,10159_2023-12-08,0.26
2610,10162_2023-09-04,0.07
2611,10163_2023-02-27,0.05
2612,10168_2023-02-02,0.05
2613,10169_2023-11-01,0.07
2614,10173_2023-09-06,0.09
2615,10176_2023-03-29,0.33
2616,10179_2023-12-14,0.3
2617,10184_2023-11-17,0.18
2618,10185_2023-04-07,0.16
2619,10186_2023-04-18,0.25
2620,10191_2023-12-14,0.23
2621,10192_2023-12-14,0.03
2622,10193_2023-11-09,0.06
2623,10196_2023-11-03,0.26
2624,10199_2023-11-10,0.91
2625,10201_2023-11-03,0.05
2626,10205_2023-12-20,0.06
2627,10207_2023-12-20,0.57
2628,10210_2023-12-08,0.92
2629,10211_2023-11-28,0.01
2630,10213_2023-12-20,0.24
2631,10219_2023-11-09,0.85
2632,10231_2023-11-21,0.66
2633,10232_2023-04-27,0.18
2634,10235_2023-11-14,0.01
2635,10237_2023-11-21,0.5
2636,10241_2023-09-06,0.09
2637,10242_2023-12-15,0.04
2638,10246_2023-12-23,0.1
2639,10250_2023-12-08,0.57
2640,10251_2023-08-07,0.48
2641,10253_2023-08-07,0.63
2642,10255_2023-12-08,0.99
2643,10264_2023-12-05,0.04
2644,10266_2023-11-15,0.2
2645,10270_2023-08-23,0.22
2646,10273_2023-12-19,0.03
2647,10276_2023-11-29,0.12
2648,10279_2023-11-15,0.04
2649,10283_2023-09-12,0.39
2650,10286_2023-11-20,0.8
2651,10289_2023-08-29,0.08
2652,10290_2023-12-07,0.05
2653,10291_2023-11-03,0.05
2654,10301_2023-12-08,0.85
2655,10309_2023-12-14,0.33
2656,10313_2023-12-11,0.18
2657,10317_2023-07-03,0.06
2658,10321_2023-12-08,0.48
2659,10326_2023-11-06,0.02
2660,10334_2023-12-05,0.28
2661,10346_2023-10-14,0.71
2662,10350_2023-12-21,0.07
2663,10358_2023-11-05,0.06
2664,10365_2023-12-07,0.65
2665,10366_2023-12-01,0.94
2666,10368_2023-12-26,0.16
2667,10371_2023-07-27,0.24
2668,10372_2023-02-02,0.14
2669,10382_2023-11-15,0.07
2670,10390_2023-11-09,0.55
2671,10393_2023-07-13,0.02
2672,10395_2023-12-21,0.51
2673,10396_2023-12-16,0.01
2674,10406_2023-11-20,0.14
2675,10408_2023-08-03,0.8
2676,10410_2023-11-27,0.09
2677,10412_2023-04-26,0.13
2678,10419_2023-11-26,0.18
2679,10424_2023-12-07,0.48
2680,10426_2023-08-09,0.06
2681,10430_2023-04-11,0.45
2682,10431_2023-11-11,0.14
2683,10432_2023-12-21,0.09
2684,10433_2023-12-15,0.03
2685,10438_2023-12-26,0.97
2686,10448_2023-10-20,0.46
2687,10449_2023-11-27,0.01
2688,10453_2023-12-18,0.18
2689,10456_2023-11-22,0.01
2690,10459_2023-11-17,0.36
2691,10460_2023-08-23,0.29
2692,10465_2023-10-17,0.85
2693,10466_2023-04-14,0.89
2694,10475_2023-10-06,0.19
2695,10477_2023-12-15,0.95
2696,10479_2023-11-16,0.94
2697,10480_2023-12-27,0.22
2698,10481_2023-12-27,0.14
2699,10486_2023-01-12,0.92
2700,10498_2023-11-29,0.43
2701,10501_2023-12-18,0.94
2702,10503_2023-07-08,0.1
2703,10504_2023-12-12,0.98
2704,10505_2023-07-21,0.69
2705,10510_2023-11-14,0.42
2706,10513_2023-10-09,0.22
2707,10516_2023-11-01,0.9
2708,10517_2023-11-30,0.96
2709,10531_2023-11-03,0.88
2710,10532_2023-12-22,0.34
2711,10533_2023-12-20,0.2
2712,10537_2023-05-23,0.98
2713,10538_2023-08-03,0.16
2714,10550_2023-11-09,0.92
2715,10559_2023-12-15,0.32
2716,10570_2023-03-20,0.78
2717,10578_2023-12-14,0.22
2718,10582_2023-01-12,0.81
2719,10596_2023-07-24,0.87
2720,10601_2023-11-21,0.79
2721,10607_2023-12-08,0.7
2722,10611_2023-12-21,0.34
2723,10616_2023-05-26,0.16
2724,10634_2023-12-22,0.24
2725,10637_2023-11-24,0.01
2726,10641_2023-12-10,0.12
2727,10645_2023-06-19,0.82
2728,10657_2023-12-07,0.21
2729,10664_2023-03-06,0.02
2730,10666_2023-05-04,0.13
2731,10667_2023-07-11,0.53
2732,10669_2023-01-17,0.43
2733,10685_2023-12-23,0.03
2734,10690_2023-09-01,0.95
2735,10693_2023-11-28,0.17
2736,10699_2023-04-29,0.11
2737,10701_2023-03-01,0.65
2738,10709_2023-12-12,0.69
2739,10712_2023-12-19,0.16
2740,10717_2023-12-29,0.09
2741,10725_2023-11-23,0.9
2742,10728_2023-12-22,0.81
2743,10729_2023-06-24,0.24
2744,10735_2023-03-29,0.96
2745,10737_2023-12-15,0.02
2746,10751_2023-11-30,0.03
2747,10752_2023-11-30,0.06
2748,10753_2023-12-03,0.04
2749,10757_2023-11-15,0.06
2750,10759_2023-12-06,0.01
2751,10761_2023-10-18,0.06
2752,10768_2023-12-06,0.28
2753,10769_2023-05-05,0.09
2754,10770_2023-11-29,0.22
2755,10773_2023-12-27,0.12
2756,10775_2023-11-15,0.14
2757,10776_2023-08-22,0.41
2758,10777_2023-12-16,0.61
2759,10778_2023-04-03,0.29
2760,10782_2023-12-15,0.23
2761,10785_2023-11-03,0.3
2762,10786_2023-11-01,0.12
2763,10787_2023-11-01,0.4
2764,10788_2023-02-05,0.16
2765,10790_2023-12-27,0.16
2766,10800_2023-03-29,0.43
2767,10802_2023-11-20,0.35
2768,10806_2023-11-19,0.04
2769,10807_2023-02-22,0.21
2770,10808_2023-11-04,0.08
2771,10811_2023-06-22,0.11
2772,10818_2023-11-23,0.65
2773,10822_2023-01-09,0.07
2774,10823_2023-12-12,0.19
2775,10824_2023-12-11,0.11
2776,10832_2023-08-22,0.01
2777,10833_2023-11-20,0.01
2778,10845_2023-10-25,0.39
2779,10848_2023-12-12,0.55
2780,10854_2023-08-31,0.28
2781,10861_2023-12-12,0.02
2782,10863_2023-12-31,0.01
2783,10869_2023-12-13,0.71
2784,10878_2023-11-07,0.74
2785,10884_2023-11-25,0.18
2786,10887_2023-07-07,0.07
2787,10888_2023-11-16,0.04
2788,10899_2023-11-01,0.01
2789,10902_2023-11-03,0.24
2790,10904_2023-11-29,0.19
2791,10906_2023-12-20,0.08
2792,10915_2023-08-02,0.14
2793,10921_2023-09-04,0.13
2794,10923_2023-11-20,0.06
2795,10927_2023-12-06,0.16
2796,10930_2023-07-11,0.18
2797,10933_2023-03-03,0.01
2798,10935_2023-08-18,0.11
2799,10936_2023-11-22,0.1
2800,10939_2023-12-08,0.18
2801,10940_2023-08-15,0.03
2802,10942_2023-12-20,0.01
2803,10957_2023-11-20,0.14
2804,10958_2023-12-26,0.13
2805,10959_2023-11-27,0.04
2806,10961_2023-11-16,0.28
2807,10966_2023-12-08,0.96
2808,10968_2023-11-13,0.03
2809,10975_2023-11-02,0.46
2810,10985_2023-05-08,0.14
2811,10989_2023-11-14,0.85
2812,10994_2023-12-26,0.1
2813,10995_2023-12-02,0.14
2814,10998_2023-11-02,0.83
2815,11000_2023-08-17,0.41
2816,11005_2023-12-27,0.27
2817,11006_2023-08-10,0.14
2818,11012_2023-11-23,0.01
2819,11014_2023-08-08,0.8
2820,11016_2023-11-17,0.03
2821,11020_2023-04-14,0.08
2822,11026_2023-12-05,0.05
2823,11027_2023-12-30,0.08
2824,11031_2023-02-22,0.39
2825,11033_2023-11-08,0.11
2826,11044_2023-12-06,0.06
2827,11051_2023-12-22,0.44
2828,11053_2023-12-21,0.1
2829,11058_2023-11-15,0.62
2830,11065_2023-06-14,0.3
2831,11071_2023-11-28,0.32
2832,11073_2023-12-06,0.05
2833,11079_2023-12-28,0.06
2834,11083_2023-12-14,0.93
2835,11091_2023-12-25,0.04
2836,11092_2023-11-01,0.02
2837,11095_2023-11-22,0.04
2838,11102_2023-03-28,0.17
2839,11103_2023-11-07,0.79
2840,11105_2023-04-20,0.15
2841,11106_2023-12-20,0.18
2842,11109_2023-12-11,0.22
2843,11110_2023-11-13,0.03
2844,11111_2023-12-22,0.02
2845,11112_2023-11-15,0.02
2846,11121_2023-12-05,0.43
2847,11124_2023-10-11,0.31
2848,11125_2023-12-04,0.53
2849,11127_2023-12-08,0.28
2850,11131_2023-02-07,0.33
2851,11135_2023-12-20,0.63
2852,11141_2023-12-21,1.0
2853,11157_2023-12-14,0.03
2854,11160_2023-08-25,0.02
2855,11161_2023-12-29,0.08
2856,11162_2023-12-26,0.03
2857,11163_2023-12-18,0.0
2858,11164_2023-11-03,1.0
2859,11165_2023-11-03,0.6
2860,11167_2023-04-18,0.38
2861,11168_2023-12-06,0.19
2862,11173_2023-11-29,0.54
2863,11177_2023-11-02,0.95
2864,11181_2023-11-04,0.12
2865,11182_2023-12-22,0.47
2866,11190_2023-11-30,0.09
2867,11192_2023-06-02,0.18
2868,11194_2023-09-07,0.04
2869,11197_2023-10-08,0.17
2870,11198_2023-12-07,0.01
2871,11199_2023-11-23,0.01
2872,11200_2023-12-14,0.28
2873,11202_2023-12-13,0.91
2874,11203_2023-12-11,0.16
2875,11204_2023-12-26,0.13
2876,11206_2023-11-20,0.02
2877,11207_2023-12-04,0.04
2878,11209_2023-04-18,0.06
2879,11211_2023-03-24,0.46
2880,11213_2023-11-14,0.15
2881,11217_2023-08-01,0.08
2882,11225_2023-11-16,0.04
2883,11235_2023-07-31,0.42
2884,11258_2023-09-04,0.4
2885,11264_2023-08-14,0.08
2886,11270_2023-12-27,0.28
2887,11275_2023-12-08,0.57
2888,11277_2023-09-21,0.28
2889,11280_2023-11-30,0.12
2890,11283_2023-04-24,0.53
2891,11291_2023-11-22,0.88
2892,11293_2023-10-30,0.06
2893,11295_2023-12-18,0.94
2894,11301_2023-11-30,0.4
2895,11315_2023-08-02,0.99
2896,11328_2023-04-05,0.36
2897,11333_2023-12-01,0.04
2898,11335_2023-06-30,0.07
2899,11339_2023-11-01,0.5
2900,11345_2023-11-27,0.38
2901,11355_2023-11-06,0.33
2902,11358_2023-08-22,0.34
2903,11365_2023-09-19,0.24
2904,11370_2023-12-20,0.5
2905,11371_2023-04-12,0.04
2906,11379_2023-07-26,0.08
2907,11380_2023-08-10,0.07
2908,11381_2023-12-01,0.1
2909,11385_2023-12-13,0.35
2910,11397_2023-12-13,0.33
2911,11399_2023-12-11,0.27
2912,11402_2023-07-20,0.57
2913,11407_2023-11-21,0.06
2914,11408_2023-12-12,0.78
2915,11409_2023-12-13,0.51
2916,11410_2023-12-12,0.57
2917,11414_2023-09-27,0.23
2918,11415_2023-12-18,0.73
2919,11421_2023-12-25,0.33
2920,11423_2023-02-22,0.83
2921,11426_2023-12-14,0.03
2922,11429_2023-02-08,0.98
2923,11436_2023-12-12,0.31
2924,11439_2023-11-28,0.44
2925,11440_2023-09-13,0.18
2926,11442_2023-12-11,0.37
2927,11443_2023-12-04,0.01
2928,11444_2023-12-12,0.48
2929,11467_2023-11-21,0.05
2930,11472_2023-11-04,0.12
2931,11478_2023-11-08,0.41
2932,11479_2023-10-20,0.96
2933,11480_2023-12-07,0.37
2934,11481_2023-12-26,0.25
2935,11482_2023-11-18,0.19
2936,11487_2023-08-21,0.08
2937,11492_2023-12-14,0.37
2938,11497_2023-11-03,0.31
2939,11513_2023-02-22,0.97
2940,11516_2023-11-15,0.03
2941,11523_2023-12-26,0.01
2942,11530_2023-08-29,0.07
2943,11531_2023-11-16,0.91
2944,11543_2023-11-23,0.83
2945,11546_2023-12-20,0.06
2946,11548_2023-09-06,0.26
2947,11550_2023-01-16,0.95
2948,11554_2023-11-22,0.86
2949,11555_2023-12-13,0.08
2950,11559_2023-11-30,0.07
2951,11561_2023-11-17,0.29
2952,11564_2023-11-30,0.24
2953,11572_2023-11-03,0.07
2954,11573_2023-11-28,0.15
2955,11575_2023-05-04,0.33
2956,11578_2023-07-10,0.46
2957,11581_2023-12-22,0.92
2958,11587_2023-12-06,0.02
2959,11590_2023-01-24,0.05
2960,11592_2023-12-01,0.01
2961,11594_2023-12-04,0.07
2962,11596_2023-12-18,0.19
2963,11597_2023-11-23,0.97
2964,11599_2023-09-13,0.01
2965,11601_2023-12-27,0.15
2966,11603_2023-12-20,0.11
2967,11604_2023-12-13,0.05
2968,11605_2023-12-11,0.41
2969,11607_2023-01-26,0.17
2970,11609_2023-02-15,0.67
2971,11610_2023-12-11,0.07
2972,11613_2023-12-19,0.05
2973,11614_2023-11-21,0.19
2974,11616_2023-12-03,0.06
2975,11617_2023-02-16,0.02
2976,11620_2023-11-23,0.15
2977,11629_2023-11-23,0.82
2978,11631_2023-12-11,0.36
2979,11644_2023-12-18,0.05
2980,11648_2023-07-10,0.84
2981,11651_2023-05-09,0.33
2982,11652_2023-12-21,0.7
2983,11663_2023-11-07,0.43
2984,11666_2023-11-11,0.12
2985,11668_2023-12-04,0.11
2986,11669_2023-11-29,0.15
2987,11671_2023-07-15,0.05
2988,11673_2023-12-21,0.09
2989,11676_2023-12-12,0.14
2990,11677_2023-11-08,0.33
2991,11678_2023-12-07,0.07
2992,11681_2023-11-21,0.05
2993,11682_2023-11-16,0.06
2994,11685_2023-07-21,0.66
2995,11691_2023-12-20,0.82
2996,11703_2023-12-27,0.77
2997,11715_2023-08-09,0.87
2998,11717_2023-11-09,0.99
2999,11733_2023-06-26,0.34
3000,11738_2023-12-29,0.92
3001,11742_2023-11-07,0.34
3002,11743_2023-12-08,0.53
3003,11744_2023-11-10,0.14
3004,11750_2023-11-21,0.09
3005,11756_2023-12-05,0.96
3006,11757_2023-02-06,0.07
3007,11765_2023-11-21,0.41
3008,11766_2023-11-13,0.96
3009,11777_2023-11-16,0.59
3010,11778_2023-04-12,0.81
3011,11781_2023-02-20,0.75
3012,11784_2023-04-07,0.02
3013,11785_2023-12-19,0.77
3014,11792_2023-12-18,0.02
3015,11795_2023-11-14,0.89
3016,11796_2023-12-08,0.95
3017,11799_2023-12-11,0.11
3018,11804_2023-12-11,0.91
3019,11813_2023-12-11,0.15
3020,11816_2023-08-23,0.26
3021,11821_2023-12-28,0.26
3022,11822_2023-11-03,0.83
3023,11823_2023-12-08,0.85
3024,11840_2023-03-16,0.16
3025,11844_2023-12-08,0.31
3026,11845_2023-11-09,0.98
3027,11846_2023-12-21,0.78
3028,11847_2023-05-23,0.1
3029,11852_2023-11-17,0.45
3030,11855_2023-11-28,0.04
3031,11858_2023-11-15,0.14
3032,11865_2023-11-29,0.19
3033,11866_2023-12-24,0.04
3034,11875_2023-11-30,0.24
3035,11879_2023-08-08,0.12
3036,11882_2023-08-30,0.2
3037,11884_2023-11-09,0.01
3038,11886_2023-11-02,0.23
3039,11895_2023-11-20,0.09
3040,11903_2023-11-22,0.38
3041,11904_2023-12-20,0.03
3042,11905_2023-11-21,0.2
3043,11906_2023-12-09,0.06
3044,11909_2023-03-11,0.24
3045,11918_2023-08-07,0.06
3046,11920_2023-08-07,0.44
3047,11923_2023-11-29,0.06
3048,11931_2023-11-15,0.25
3049,11933_2023-12-26,0.08
3050,11935_2023-11-22,0.09
3051,11940_2023-11-29,0.05
3052,11942_2023-09-13,0.13
3053,11943_2023-11-18,0.27
3054,11946_2023-11-29,0.53
3055,11949_2023-12-20,0.03
3056,11963_2023-12-25,0.01
3057,11964_2023-11-05,0.17
3058,11971_2023-12-11,0.42
3059,11977_2023-08-21,0.18
3060,11978_2023-03-09,0.47
3061,11979_2023-11-30,0.29
3062,11981_2023-01-12,0.09
3063,11982_2023-11-02,0.15
3064,11987_2023-12-14,0.04
3065,11988_2023-11-23,0.08
3066,11996_2023-12-20,0.86
3067,12001_2023-12-07,0.54
3068,12002_2023-12-12,0.67
3069,12006_2023-12-19,0.75
3070,12008_2023-08-07,0.03
3071,12009_2023-12-22,0.26
3072,12017_2023-11-14,0.83
3073,12022_2023-12-15,0.25
3074,12023_2023-12-12,0.08
3075,12027_2023-12-01,0.0
3076,12029_2023-03-15,0.03
3077,12030_2023-12-28,0.02
3078,12031_2023-11-10,0.0
3079,12032_2023-11-20,0.15
3080,12037_2023-12-20,0.01
3081,12038_2023-11-21,0.13
3082,12045_2023-09-19,0.06
3083,12048_2023-11-16,0.37
3084,12051_2023-12-20,0.52
3085,12053_2023-11-28,0.04
3086,12054_2023-08-14,0.18
3087,12057_2023-08-31,0.07
3088,12062_2023-12-01,0.05
3089,12064_2023-12-04,0.76
3090,12068_2023-10-11,0.02
3091,12073_2023-11-07,0.34
3092,12077_2023-12-13,0.14
3093,12082_2023-07-19,0.04
3094,12084_2023-11-30,0.02
3095,12086_2023-03-23,0.08
3096,12090_2023-11-10,0.11
3097,12091_2023-12-06,0.02
3098,12093_2023-11-22,0.25
3099,12101_2023-12-23,0.2
3100,12102_2023-05-25,0.12
3101,12103_2023-11-30,0.12
3102,12113_2023-12-14,0.38
3103,12124_2023-12-12,0.02
3104,12125_2023-11-28,0.05
3105,12130_2023-11-09,0.32
3106,12132_2023-12-20,0.06
3107,12138_2023-01-11,0.06
3108,12141_2023-12-15,0.29
3109,12144_2023-11-10,0.03
3110,12149_2023-05-26,0.04
3111,12152_2023-11-29,0.14
3112,12155_2023-04-05,0.08
3113,12162_2023-12-12,0.09
3114,12165_2023-11-22,0.38
3115,12169_2023-12-11,0.85
3116,12170_2023-11-09,0.05
3117,12171_2023-11-17,0.06
3118,12184_2023-12-19,0.66
3119,12186_2023-08-11,0.1
3120,12187_2023-11-08,0.93
3121,12192_2023-12-20,0.64
3122,12194_2023-12-04,0.82
3123,12195_2023-11-23,0.84
3124,12196_2023-11-03,0.79
3125,12197_2023-11-28,0.0
3126,12207_2023-11-20,0.03
3127,12209_2023-11-15,0.2
3128,12227_2023-03-20,0.09
3129,12228_2023-11-07,0.02
3130,12231_2023-12-21,0.21
3131,12234_2023-11-17,0.09
3132,12240_2023-07-19,0.25
3133,12250_2023-11-28,0.09
3134,12251_2023-03-17,0.11
3135,12252_2023-02-06,0.75
3136,12254_2023-07-31,0.03
3137,12259_2023-11-29,0.29
3138,12260_2023-03-29,0.04
3139,12263_2023-11-28,0.01
3140,12291_2023-09-13,0.08
3141,12296_2023-11-03,0.0
3142,12298_2023-11-09,0.07
3143,12304_2023-06-30,0.13
3144,12305_2023-12-11,0.17
3145,12309_2023-06-13,0.29
3146,12311_2023-12-27,0.06
3147,12315_2023-09-25,0.04
3148,12316_2023-11-28,0.19
3149,12318_2023-12-20,0.67
3150,12320_2023-09-14,0.23
3151,12321_2023-12-07,0.21
3152,12323_2023-12-20,0.33
3153,12324_2023-11-22,0.07
3154,12328_2023-12-21,0.04
3155,12332_2023-12-14,0.57
3156,12338_2023-07-12,0.02
3157,12342_2023-11-13,0.98
3158,12345_2023-11-25,0.07
3159,12348_2023-12-11,0.06
3160,12349_2023-04-05,0.12
3161,12352_2023-04-27,0.64
3162,12359_2023-11-03,0.54
3163,12362_2023-12-23,0.07
3164,12364_2023-12-04,0.04
3165,12367_2023-12-13,0.06
3166,12368_2023-07-11,0.05
3167,12371_2023-07-27,0.56
3168,12372_2023-11-21,0.07
3169,12373_2023-02-07,0.71
3170,12380_2023-12-08,0.06
3171,12381_2023-11-08,0.27
3172,12388_2023-12-13,0.19
3173,12397_2023-09-06,0.22
3174,12409_2023-06-13,0.06
3175,12413_2023-07-14,0.98
3176,12415_2023-09-30,0.05
3177,12420_2023-08-20,0.13
3178,12421_2023-11-02,0.1
3179,12427_2023-12-01,0.14
3180,12438_2023-12-22,0.05
3181,12441_2023-02-03,0.63
3182,12448_2023-12-18,0.59
3183,12452_2023-12-15,0.98
3184,12453_2023-11-29,0.02
3185,12458_2023-12-12,0.93
3186,12482_2023-12-07,0.22
3187,12483_2023-12-19,0.37
3188,12485_2023-02-01,0.03
3189,12487_2023-04-14,0.33
3190,12489_2023-02-14,0.27
3191,12496_2023-11-30,0.09
3192,12497_2023-12-08,0.01
3193,12507_2023-02-27,0.29
3194,12509_2023-10-25,0.1
3195,12511_2023-11-12,0.05
3196,12514_2023-12-11,0.01
3197,12515_2023-10-25,0.27
3198,12525_2023-02-28,0.85
3199,12528_2023-12-12,0.05
3200,12533_2023-12-22,0.9
3201,12535_2023-11-01,0.7
3202,12543_2023-02-08,0.63
3203,12545_2023-07-21,0.66
3204,12547_2023-09-04,0.58
3205,12555_2023-11-04,0.71
3206,12557_2023-12-13,0.93
3207,12562_2023-10-04,0.8
3208,12565_2023-12-19,0.88
3209,12568_2023-02-10,0.02
3210,12576_2023-12-26,0.06
3211,12577_2023-11-21,0.45
3212,12578_2023-05-14,0.07
3213,12582_2023-12-15,0.39
3214,12584_2023-11-09,0.98
3215,12589_2023-11-14,0.2
3216,12590_2023-02-10,0.16
3217,12599_2023-11-22,0.1
3218,12606_2023-07-29,0.17
3219,12608_2023-12-15,0.11
3220,12610_2023-11-10,0.02
3221,12615_2023-11-14,0.06
3222,12620_2023-08-25,0.07
3223,12628_2023-12-01,0.02
3224,12632_2023-07-26,0.17
3225,12636_2023-11-02,0.08
3226,12642_2023-11-01,0.99
3227,12649_2023-12-18,0.76
3228,12651_2023-11-09,0.92
3229,12652_2023-11-27,0.66
3230,12655_2023-12-08,0.14
3231,12663_2023-12-14,0.85
3232,12669_2023-11-09,0.57
3233,12671_2023-12-12,0.73
3234,12676_2023-12-04,0.45
3235,12679_2023-12-20,0.78
3236,12683_2023-05-10,0.95
3237,12685_2023-12-20,0.41
3238,12694_2023-11-02,0.5
3239,12703_2023-12-27,0.76
3240,12704_2023-12-26,0.19
3241,12708_2023-11-08,0.01
3242,12713_2023-04-19,0.19
3243,12716_2023-06-14,0.91
3244,12723_2023-12-18,0.54
3245,12729_2023-12-25,0.27
3246,12732_2023-09-15,0.05
3247,12736_2023-11-20,0.05
3248,12742_2023-11-30,0.03
3249,12749_2023-11-02,0.01
3250,12750_2023-12-19,0.81
3251,12752_2023-11-17,0.09
3252,12753_2023-01-09,0.01
3253,12757_2023-09-02,0.18
3254,12761_2023-12-07,0.3
3255,12762_2023-12-12,0.13
3256,12771_2023-12-13,0.04
3257,12776_2023-11-16,0.04
3258,12782_2023-11-27,0.08
3259,12784_2023-12-12,0.01
3260,12785_2023-12-12,0.07
3261,12786_2023-11-07,0.07
3262,12787_2023-12-13,0.9
3263,12788_2023-10-19,0.19
3264,12791_2023-06-16,0.04
3265,12799_2023-12-05,0.22
3266,12800_2023-11-10,0.61
3267,12801_2023-12-13,0.94
3268,12805_2023-05-19,0.93
3269,12826_2023-12-15,0.38
3270,12828_2023-01-30,0.97
3271,12835_2023-11-02,0.11
3272,12847_2023-12-15,0.06
3273,12853_2023-11-11,0.22
3274,12854_2023-02-27,0.1
3275,12855_2023-12-19,0.73
3276,12857_2023-10-16,0.18
3277,12858_2023-12-20,0.2
3278,12860_2023-12-22,0.36
3279,12864_2023-12-21,0.03
3280,12870_2023-12-08,0.15
3281,12871_2023-12-12,0.05
3282,12875_2023-07-24,0.71
3283,12877_2023-11-15,0.08
3284,12878_2023-11-14,0.0
